igi.event,daten,focal,rival,n.adults,mean.age
543,41804,7A,1H,21,1249.380952
544,41846,17,4B,9,1202.888889
545,41867,21,1B,20,1210.55
546,41869,1H,7A,18,1291.5
547,41909,7A,1H,18,1410.055556
548,41930,2,1B,17,1317.764706
549,41932,1B,2,23,1203.478261
550,41937,4B,11,24,1126.166667
551,41949,1H,1B,17,1336.764706
552,41996,2,11,22,1185.363636
553,42025,1B,11,21,1190.52381
554,42096,1B,2,19,1035.631579
555,42108,1B,21,1,911
556,42153,1H,7A,20,1293.45
558,42182,11,1B,32,838.4375
560,42217,1B,2,19,1137.052632
561,42219,2,1B,31,893.7419355
562,42226,1B,11,17,1303.470588
563,42226,11,1B,30,920.2666667
564,42243,2,11,17,1320.470588
565,42278,2,11,16,1350.1875
566,42284,1B,11,16,1356.1875
567,42293,1H,11,16,1365.1875
568,42334,2,11,16,1406.1875
570,42419,1B,2,17,1113.647059
571,42465,1H,7A,20,1161
573,42504,2,1B,28,881.2857143
575,42541,1B,11,15,1520.866667
576,42552,1B,11,15,1531.866667
577,42572,1B,11,14,1553.642857
578,42573,1B,2,14,1228.142857
579,42587,1H,11,12,1494.333333
581,42595,11,1H,25,1308.8
582,42611,1B,2,8,1244.75
583,42640,1B,11,12,1547.333333
584,42664,2,11,12,1571.333333
585,42667,2,1B,22,1151.681818
586,42678,11,2,7,941.5714286
587,42716,1B,26,14,1409.142857
591,42952,7A,30,7,900.1428571
592,43137,26,1B,17,1634.705882
593,43230,1H,7A,17,1073.588235
594,43242,1B,1H,20,991.4
596,43502,26,1B,16,1410.375
597,43554,1H,7A,20,857.7
